Tipologia;N_Osservazioni;Media_kWh;Mediana_kWh;StdDev_kWh;Min_kWh;Max_kWh;N_POD
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di sapon;18;759507.7;760850.0;44609.7;673709.0;854697.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di utens;15;84305.5;21062.0;115378.5;5247.0;314999.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio all'ingrosso di compu;16;111095.6;121835.0;30838.2;0.0;124396.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio all'ingrosso di prodo;14;31159.6;30722.5;6768.1;22812.0;47761.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Noleggio di strutture ed attrez;18;186989.2;186027.0;30481.1;112492.0;228181.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gestioni di funicolari, ski-lif;14;61876.7;2368.0;123932.9;1538.0;338431.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di orologi e;15;238468.9;219368.0;182627.3;0.0;454487.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di giochi e ;15;193315.5;153227.0;195959.2;0.0;544987.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di fiori, pi;18;212577.9;217626.5;78187.1;66843.0;354261.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di apparecch;15;114248.2;141473.0;103565.4;0.0;307671.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di bevande  ;18;264400.7;228867.5;72515.7;186106.0;408701.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di carne e d;18;3432819.1;2889200.0;1164808.2;1726468.0;5338072.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di servizi di catering per;15;214373.1;229867.0;64016.7;113273.0;312961.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività fotografiche fornite da fo;14;85759.6;63897.5;76931.1;33.0;288284.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di giornali ;18;277275.7;274159.5;26966.2;217766.0;316363.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di libri    ;15;181302.3;209847.0;130757.6;9519.0;377219.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività generali di amministrazion;14;54465.6;6375.5;80325.9;3820.0;251709.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività odontoiatriche            ;18;175519.8;184619.0;30539.2;101837.0;206152.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri trasporti terrestri di passeg;14;222353.4;143297.5;206024.2;11010.0;614240.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di agenzie di viaggio     ;18;59008.3;48166.0;28254.0;28990.0;145350.0;1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Affitto e gestione di beni immobili;18;329155.9;312526.5;133728.7;165208.0;762307.0;1
