Tipologia;N_POD;PotMedia_kW;PotMediana_kW;PotMin_kW;PotMax_kW
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Attività degli orti botanici, d;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di gener;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di prodo;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di sapon;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio al dettaglio di utens;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio all'ingrosso di compu;1;1.5;1.5;1.5;1.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Commercio all'ingrosso di prodo;1;1.5;1.5;1.5;1.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Noleggio di strutture ed attrez;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gestioni di funicolari, ski-lif;1;0.0;0.0;0.0;0.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di orologi e;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di giochi e ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di fiori, pi;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di apparecch;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di bevande  ;1;4.5;4.5;4.5;4.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di carne e d;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di servizi di catering per;1;5.0;5.0;5.0;5.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività fotografiche fornite da fo;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di giornali ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di libri    ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività generali di amministrazion;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività odontoiatriche            ;1;4.5;4.5;4.5;4.5
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri trasporti terrestri di passeg;1;1.0;1.0;1.0;1.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di agenzie di viaggio     ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Affitto e gestione di beni immobili;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altre attività creditizie          ;1;10.0;10.0;10.0;10.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Allevamento di altri bovini e bufal;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altra stampa                       ;1;15.0;15.0;15.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Organizzazione di convegni e fi;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi integrati di supporto p;1;6.0;6.0;6.0;6.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi forniti da commercialis;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi dei parrucchieri e di a;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri lavori di costruzione special;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri trasporti ferroviari di passe;1;15.0;15.0;15.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di assistenza sociale non ;1;20.0;20.0;20.0;20.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di ristoranti con servizio;1;12.4;12.4;12.4;12.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Consulenza imprenditoriale e altre ;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Estrazione di pietre ornamentali, c;1;25.0;25.0;25.0;25.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di altri pro;1;3.0;3.0;3.0;3.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio all'ingrosso di autoveico;1;3.4;3.4;3.4;3.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di birra                ;1;31.2;31.2;31.2;31.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Intonacatura                       ;1;15.0;15.0;15.0;15.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Istruzione prescolastica           ;1;10.0;10.0;10.0;10.0
