POD;N_Righe;N_Mesi;Tot_NaN_Q;Tot_Celle;Completezza [%]
99999E00012495;920;15;8;88320;99.99
99999E00012496;920;15;8;88320;99.99
99999E00012505;980;16;8;94080;99.99
99999E00012514;920;15;8;88320;99.99
99999E00012517;1100;18;8;105600;99.99
99999E00012521;920;15;8;88320;99.99
99999E00012527;798;13;8;76608;99.99
99999E00012530;798;13;8;76608;99.99
99999E00012531;798;13;8;76608;99.99
99999E00012532;798;13;8;76608;99.99
99999E00012534;798;13;8;76608;99.99
99999E00012535;920;15;8;88320;99.99
99999E00012538;1042;17;8;100032;99.99
99999E00012560;980;16;8;94080;99.99
99999E00012563;980;16;8;94080;99.99
99999E00012581;920;15;8;88320;99.99
99999E00012583;920;15;8;88320;99.99
99999E00012584;920;15;8;88320;99.99
99999E00012591;858;14;8;82368;99.99
99999E00012593;798;13;8;76608;99.99
99999E00012594;798;13;8;76608;99.99
99999E00012595;858;14;8;82368;99.99
99999E00012615;920;15;8;88320;99.99
99999E00012616;798;13;8;76608;99.99
99999E00012618;980;16;8;94080;99.99
99999E00012621;1042;17;8;100032;99.99
99999E00012622;798;13;8;76608;99.99
99999E00012624;1042;17;8;100032;99.99
99999E00012627;920;15;8;88320;99.99
99999E00012631;980;16;8;94080;99.99
99999E00012632;920;15;8;88320;99.99
99999E00012642;980;16;8;94080;99.99
99999E00012647;1042;17;8;100032;99.99
99999E00012648;1042;17;8;100032;99.99
99999E00012649;1042;17;8;100032;99.99
99999E00012652;980;16;8;94080;99.99
99999E00012653;980;16;8;94080;99.99
99999E00012656;1042;17;8;100032;99.99
99999E00012658;980;16;8;94080;99.99
99999E00012660;1650;18;12;158400;99.99
99999E00012661;980;16;8;94080;99.99
99999E00012663;980;16;8;94080;99.99
99999E00012665;920;15;8;88320;99.99
99999E00012666;920;15;8;88320;99.99
99999E00012669;980;16;8;94080;99.99
99999E00012671;1042;17;8;100032;99.99
99999E00012675;980;16;8;94080;99.99
99999E00012676;920;15;8;88320;99.99
99999E00012677;920;15;8;88320;99.99
99999E00012683;980;16;8;94080;99.99
99999E00012689;858;14;8;82368;99.99
99999E00012693;920;15;8;88320;99.99
99999E00012694;840;14;8;80640;99.99
99999E00012696;920;15;8;88320;99.99
99999E00012699;980;16;8;94080;99.99
99999E00012700;980;16;8;94080;99.99
99999E00012701;920;15;8;88320;99.99
99999E00012703;798;13;8;76608;99.99
99999E00012705;920;15;8;88320;99.99
99999E00012706;1100;18;8;105600;99.99
99999E00012707;1100;18;8;105600;99.99
99999E00012708;980;16;8;94080;99.99
99999E00012745;980;16;8;94080;99.99
99999E00012747;920;15;8;88320;99.99
99999E00012754;920;15;8;88320;99.99
99999E00012763;1042;17;8;100032;99.99
99999E00012764;1042;17;8;100032;99.99
99999E00012765;1042;17;8;100032;99.99
99999E00012767;1042;17;8;100032;99.99
99999E00012769;1042;17;8;100032;99.99
99999E00012772;798;13;8;76608;99.99
99999E00012778;920;15;8;88320;99.99
99999E00012797;1100;18;8;105600;99.99
99999E00012798;920;15;8;88320;99.99
99999E00012802;1100;18;8;105600;99.99
99999E00012825;1100;18;8;105600;99.99
99999E00012831;1100;18;8;105600;99.99
99999E00012834;920;15;8;88320;99.99
99999E00012849;980;16;8;94080;99.99
99999E00012850;980;16;8;94080;99.99
99999E00012853;1100;18;8;105600;99.99
99999E00012855;1100;18;8;105600;99.99
99999E00012915;1042;17;8;100032;99.99
99999E00012917;1100;18;8;105600;99.99
99999E00012923;1100;18;8;105600;99.99
99999E00012926;1100;18;8;105600;99.99
99999E00012929;1100;18;8;105600;99.99
99999E00012936;1100;18;8;105600;99.99
99999E00012938;1100;18;8;105600;99.99
99999E00012952;920;15;8;88320;99.99
99999E00012955;980;16;8;94080;99.99
99999E00012957;858;14;8;82368;99.99
99999E00012958;920;15;8;88320;99.99
99999E00012960;858;14;8;82368;99.99
99999E00012962;920;15;8;88320;99.99
99999E00012964;920;15;8;88320;99.99
99999E00012965;920;15;8;88320;99.99
99999E00012966;798;13;8;76608;99.99
99999E00012969;950;16;0;91200;100.0
99999E00012971;980;16;8;94080;99.99
99999E00012972;980;16;8;94080;99.99
99999E00012973;980;16;8;94080;99.99
99999E00012974;980;16;8;94080;99.99
99999E00012977;920;15;8;88320;99.99
99999E00012980;980;16;8;94080;99.99
99999E00012990;858;14;8;82368;99.99
99999E00013006;920;15;8;88320;99.99
99999E00013007;980;16;8;94080;99.99
99999E00013008;980;16;8;94080;99.99
99999E00013010;920;15;8;88320;99.99
99999E00013022;920;15;8;88320;99.99
99999E00013030;1042;17;8;100032;99.99
99999E00013035;920;15;8;88320;99.99
99999E00013038;1042;17;8;100032;99.99
99999E00013039;798;13;8;76608;99.99
99999E00013040;920;15;8;88320;99.99
99999E00013044;920;15;8;88320;99.99
99999E00013076;980;16;8;94080;99.99
99999E00013080;920;15;8;88320;99.99
99999E00013081;980;16;8;94080;99.99
99999E00013084;920;15;8;88320;99.99
99999E00013085;980;16;8;94080;99.99
99999E00013090;1100;18;8;105600;99.99
99999E00013112;1100;18;8;105600;99.99
99999E00013131;1100;18;8;105600;99.99
99999E00013140;1042;17;8;100032;99.99
99999E00013141;980;16;8;94080;99.99
99999E00013142;980;16;8;94080;99.99
99999E00013145;920;15;8;88320;99.99
99999E00013147;858;14;8;82368;99.99
99999E00013148;920;15;8;88320;99.99
99999E00013156;1100;18;8;105600;99.99
99999E00013158;1100;18;8;105600;99.99
99999E00013162;1100;18;8;105600;99.99
99999E00013163;1100;18;8;105600;99.99
99999E00013164;1042;17;8;100032;99.99
99999E00013172;980;16;8;94080;99.99
99999E00013173;798;13;8;76608;99.99
99999E00013175;980;16;8;94080;99.99
99999E00013178;1100;18;8;105600;99.99
99999E00013193;980;16;8;94080;99.99
99999E00013194;980;16;8;94080;99.99
99999E00013195;980;16;8;94080;99.99
99999E00013196;980;16;8;94080;99.99
99999E00013241;1100;18;8;105600;99.99
