Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Gestione di impianti sportivi p;;;;321432.7;681255.7;264228.7;610869.7;277072.7;552547.0;2077267.3;829113.7;150586.7;333982.3;514937.0;312576.7;253592.3;814653.3;1638344.0;642164.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio non speciali;;;;7924.0;745445.5;1068714.0;1076627.0;538448.0;441831.5;1083393.0;608906.0;504776.5;898679.0;978188.5;249835.0;178907.0;245045.5;826405.5;630208.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Altre attività dei servizi conn;10553.0;25953.0;163882.0;160288.0;103936.0;30980.0;611.0;26759.0;15094.0;185318.0;507225.0;1872818.0;1670008.0;1610486.0;1258305.0;980657.0;950364.0;1179071.0;597350.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Noleggio e leasing operativo di alt;;;;;472397.0;694823.3;666771.7;193641.0;170057.3;1392011.0;1183132.7;369618.7;481689.3;587573.0;283726.7;199539.0;252855.7;1243095.7;585066.6
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Intonacatura                       ;323162.0;349340.0;324824.0;421201.0;437853.0;699658.0;294411.0;1319826.0;788221.0;822495.0;780481.0;402159.0;589579.0;175042.0;891421.0;795448.0;518683.0;488245.0;579002.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di articoli ;158913.5;158600.0;178014.0;192734.7;558772.9;952893.1;1015025.3;165309.9;281078.1;1081382.6;811033.5;592523.9;870418.2;926726.3;523842.0;188085.4;265912.5;842365.3;542424.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Attività degli orti botanici, d;;;;879084.0;766620.0;1039576.0;743998.0;858215.0;31876.0;33860.0;34602.0;314490.0;816626.0;892653.0;804881.0;685056.0;161154.0;38258.0;540063.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Fabbricazione di strutture metallic;776911.0;539433.3;502965.7;508801.3;400143.7;473364.0;340304.0;543952.0;560376.3;507256.0;576215.7;456171.7;597652.3;506300.3;534411.7;642402.3;675340.7;567687.0;539427.2
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Fabbricazione di altri prodotti;686319.0;731679.5;620680.0;622400.0;428593.5;475600.5;452096.5;613304.5;538092.0;538216.5;620360.0;535526.5;501409.5;684724.5;263866.0;583267.0;156441.5;393909.0;524804.8
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Telecomunicazioni fisse        ;251891.0;139398.0;136934.0;141598.0;587904.6;615186.2;577099.2;559569.4;561145.5;596581.2;591036.2;565975.6;581158.7;589161.2;572238.8;635317.5;612995.0;639361.8;497475.1
